Read.Code,Description
9S1..,white - ethnic group
9SA..,other ethnic non-mixed (nmo)
9SA1.,brit. ethnic minor. spec.(nmo)
9SA2.,brit. ethnic minor. unsp (nmo)
9SA3.,caribbean i. &/or w.i. &/or guyana (nmo)
9SA6.,e afric asian &/or indo-carib (nmo)
9SAA.,greek &/or greek cypriot (nmo)
9SA7.,indian sub-continent (nmo)
9SA9.,irish (nmo)
9SA4.,n african arab &/or iranian (nmo)
9SA5.,other african countries (nmo)
9SA8.,other asian (nmo)
9SAC.,other european (nmo)
9SAD.,other ethnic nec (nmo)
9SAB.,turkish &/or turkish cypriot (nmo)
XaFwH,black - ethnic group
XaFwG,mixed ethnic census group
XaFwz,asian - ethnic group
XaFx1,other ethnic group
