ReadCode,TermCode,Desc,Group
9S1..,YaVK8,White - ethnic group,White - ethnic group
XaFwD,Yah7P,White British,White - ethnic group
XaIuh,YalfB,White Scottish,White - ethnic group
XaIui,YalfC,Other white British ethnic group,White - ethnic group
XaFwE,Yah7Q,White Irish,White - ethnic group
XaFx2,Yah8F,Irish traveller,White - ethnic group
XaFwF,Yah7R,Other white ethnic group,White - ethnic group
9SA..,Y7AUr,Other ethnic non-mixed (NMO),Other ethnic group
9SA1.,Y7AUs,Brit. ethnic minor. spec.(NMO),Other ethnic group
9SA2.,Y7AUt,Brit. ethnic minor. unsp (NMO),Other ethnic group
9SA5.,Y7AV1,Other African countries (NMO),Other ethnic group
9SA7.,Y7AV5,Indian sub-continent (NMO),Other ethnic group
9SA8.,Y7AV6,Other Asian (NMO),Other ethnic group
9SA9.,Y7AV7,Irish (NMO),Other ethnic group
9SAC.,Y7AVE,Other European (NMO),Other ethnic group
9SAD.,Y7AVF,Other ethnic NEC (NMO),Other ethnic group
XE2Nw,Y7AUu,Caribbean I./W.I./Guyana (NMO),Other ethnic group
XM1S8,Y7AUv,Caribbean Island (NMO),Other ethnic group
XM1S9,Y7AUw,West Indian (NMO),Other ethnic group
XM1SA,Y7AUx,Guyana (NMO),Other ethnic group
XE2Nx,Y7AUy,N African Arab/Iranian (NMO),Other ethnic group
XM1SB,Y7AUz,North African Arab (NMO),Other ethnic group
XM1SC,Y7AV0,Iranian (NMO),Other ethnic group
XE2Ny,Y7AV2,E Afric Asian/Indo-Carib (NMO),Other ethnic group
XM1SD,Y7AV3,East African Asian (NMO),Other ethnic group
XM1SE,Y7AV4,Indo-Caribbean (NMO),Other ethnic group
XE2Nz,Y7AV8,Greek/Greek Cypriot (NMO),Other ethnic group
XM1SF,Y7AV9,Greek (NMO),Other ethnic group
XM1SG,Y7AVA,Greek Cypriot (NMO),Other ethnic group
XE2O0,Y7AVB,Turkish/Turkish Cypriot (NMO),Other ethnic group
XM1SH,Y7AVC,Turkish (NMO),Other ethnic group
XM1SI,Y7AVD,Turkish Cypriot (NMO),Other ethnic group
9SA3.,YE1mV,Caribbean I. &/or W.I. &/or Guyana (NMO),Other ethnic group
9SA4.,YE1mW,N African Arab &/or Iranian (NMO),Other ethnic group
9SA6.,YE1mX,E Afric Asian &/or Indo-Carib (NMO),Other ethnic group
9SAA.,YE1mY,Greek &/or Greek Cypriot (NMO),Other ethnic group
9SAB.,YE1mZ,Turkish &/or Turkish Cypriot (NMO),Other ethnic group
9SZ..,Y7AVL,Ethnic groups (census) NOS,Other ethnic group
XaFwG,Yah7S,Mixed ethnic census group,Mixed ethnic census group
9S5..,Y7AUk,"Black - other, mixed",Mixed ethnic census group
9S51.,Y7AUl,Other Black - Black/White orig,Mixed ethnic census group
9S52.,Y7AUm,Other Black - Black/Asian orig,Mixed ethnic census group
9SB..,Y7AVG,"Other ethnic, mixed origin",Mixed ethnic census group
9SB1.,Y7AVH,"Other ethnic, Black/White orig",Mixed ethnic census group
9SB2.,Y7AVI,"Other ethnic, Asian/White orig",Mixed ethnic census group
9SB3.,Y7AVJ,"Other ethnic, mixed white orig",Mixed ethnic census group
9SB4.,Y7AVK,"Other ethnic, other mixed orig",Mixed ethnic census group
XaIB5,YajTw,Black Caribbean and White,Mixed ethnic census group
XaIB6,YajTx,Black African and White,Mixed ethnic census group
XaFwH,Yah7T,Black - ethnic group,Black - ethnic group
9S2..,Y7AUR,Black Caribbean,Black - ethnic group
XaBz7,Y7AUX,Black West Indian,Black - ethnic group
XaBz8,Y7AUY,Black Guyana,Black - ethnic group
9S3..,Y7AUS,Black African,Black - ethnic group
9S4..,Y7AUT,"Black, other, non-mixed origin",Black - ethnic group
9S41.,Y7AUU,Black British,Black - ethnic group
9S44.,Y7AUd,Black - other African country,Black - ethnic group
9S46.,Y7AUh,Black Indian sub-continent,Black - ethnic group
9S47.,Y7AUi,Black - other Asian,Black - ethnic group
9S48.,Y7AUj,Black Black - other,Black - ethnic group
XE2Nt,Y7AUV,Black Caribbean/W.I./Guyana,Black - ethnic group
XE2Nu,Y7AUZ,Black N African/Arab/Iranian,Black - ethnic group
XM1S3,Y7AUa,Black North African,Black - ethnic group
XM1S4,Y7AUb,Black Arab,Black - ethnic group
XM1S5,Y7AUc,Black Iranian,Black - ethnic group
XE2Nv,Yacuk,Black East African Asian/Indo-Caribbean,Black - ethnic group
XM1S6,Y7AUf,Black East African Asian,Black - ethnic group
XM1S7,Y7AUg,Black Indo-Caribbean,Black - ethnic group
XaFwy,Yah7Y,Other black ethnic group,Black - ethnic group
XaFwz,Yah7Z,Asian - ethnic group,Asian - ethnic group
9S6..,Y7AUn,Indian,Asian - ethnic group
9S7..,Y7AUo,Pakistani,Asian - ethnic group
9S8..,Y7AUp,Bangladeshi,Asian - ethnic group
9T1C.,Y7AUq,Chinese,Asian - ethnic group
XaFx0,Yah7a,Other Asian ethnic group,Asian - ethnic group
XaFx1,Yah8E,Other ethnic group,Other ethnic group
